label	patch	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	shooterShare	I4gap	failed
A7 backlog 8/1	backlogSize=8 backlogDrainPerTick=1	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A7 backlog 8/2	backlogSize=8 backlogDrainPerTick=2	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A7 backlog 16/2	backlogSize=16 backlogDrainPerTick=2	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A7 backlog 16/3	backlogSize=16 backlogDrainPerTick=3	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A7 backlog 20/4	backlogSize=20 backlogDrainPerTick=4	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
A8 leash 7	leashRadius=7	8	6	7	7		0.519	0.115	0.189	0.215	0	9.75	0.237		I2;I3;I8;I10
A8 leash 8	leashRadius=8	8	2	2	2		0.684	0.165	0.244	0.275	0	10.29	0.207		I3;I8
A8 leash 9	leashRadius=9	7	2	1	1		0.850	0.216	0.298	0.336	0	10.76	0.193		skilled 8/8;I2;I3;I8
A8 leash 11	leashRadius=11	5	1	0	0		0.961	0.274	0.354	0.332	0	10.72	0.161		skilled 8/8;I2;I8
A8 leash 12	leashRadius=12	5	1	0	0		0.989	0.319	0.399	0.271	0	11.45	0.162		skilled 8/8;I2;I8
B0 engage11/spawn14 (base)	engageRadius=11 spawnRadius=14	8	0	0	0		0.843	0.247	0.318	0.277	0	11.68	0.200		I2
B1 meleeHp 0.8	engageRadius=11 spawnRadius=14 meleeHp=0.8	8	7	4	6		0.523	0.143	0.198	0.182	0	8.43	0.228		I2;I3;I8;I10
B1 meleeHp 0.85	engageRadius=11 spawnRadius=14 meleeHp=0.85	8	3	2	2		0.619	0.187	0.234	0.198	0	9.22	0.212		I3;I8
B1 meleeHp 0.9	engageRadius=11 spawnRadius=14 meleeHp=0.9	8	4	2	2		0.674	0.188	0.246	0.240	0	9.21	0.205		I3;I8
B1 meleeHp 0.95	engageRadius=11 spawnRadius=14 meleeHp=0.95	8	4	1	1		0.680	0.204	0.273	0.203	0	9.56	0.203		I3;I8
B1 meleeHp 1.05	engageRadius=11 spawnRadius=14 meleeHp=1.05	7	2	1	1		0.905	0.248	0.339	0.318	0	11.48	0.177		skilled 8/8;I2;I3;I8
B1 meleeHp 1.1	engageRadius=11 spawnRadius=14 meleeHp=1.1	4	0	0	0		1.064	0.298	0.383	0.383	0	13.57	0.162		skilled 8/8;I2
B2 meleeSpeed 0.13	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.13	7	1	1	2		0.796	0.213	0.303	0.280	0	12.08	0.210		skilled 8/8;I3;I8
B2 meleeSpeed 0.135	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.135	6	2	0	1		0.901	0.243	0.328	0.330	0	12.18	0.198		skilled 8/8;I2;I8
B2 meleeSpeed 0.145	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.145	5	1	0	0		0.965	0.263	0.362	0.340	0	11.86	0.167		skilled 8/8;I2;I8
B2 meleeSpeed 0.15	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.15	3	0	0	0		1.039	0.280	0.398	0.361	0	12.17	0.167		skilled 8/8;I2
B2 meleeSpeed 0.16	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.16	5	0	1	1		1.010	0.290	0.387	0.333	0	11.33	0.156		skilled 8/8;I2;I3
B2 meleeSpeed 0.17	engageRadius=11 spawnRadius=14 meleeMoveSpeed=0.17	3	0	0	0		1.086	0.321	0.398	0.367	0	11.24	0.157		skilled 8/8;I2
B3 meleeDmg 0.035	engageRadius=11 spawnRadius=14 meleeDamage=0.035	8	4	2	2		0.640	0.200	0.259	0.181	0	11.12	0.237		I3;I8
B3 meleeDmg 0.04	engageRadius=11 spawnRadius=14 meleeDamage=0.04	7	3	1	2		0.811	0.224	0.302	0.285	0	11.57	0.196		skilled 8/8;I2;I3;I8
B3 meleeDmg 0.042	engageRadius=11 spawnRadius=14 meleeDamage=0.042	7	2	1	2		0.847	0.233	0.302	0.312	0	11.76	0.198		skilled 8/8;I2;I3;I8
B3 meleeDmg 0.048	engageRadius=11 spawnRadius=14 meleeDamage=0.048	6	1	0	0		0.933	0.261	0.324	0.347	0	11.99	0.186		skilled 8/8;I2;I8
B3 meleeDmg 0.05	engageRadius=11 spawnRadius=14 meleeDamage=0.05	6	1	0	0		0.951	0.271	0.349	0.331	0	12.06	0.173		skilled 8/8;I2;I8
B4 meleeInt 12	engageRadius=11 spawnRadius=14 meleeAttackInterval=12	5	0	0	0		1.040	0.289	0.374	0.377	0	11.93	0.164		skilled 8/8;I2
B4 meleeInt 13	engageRadius=11 spawnRadius=14 meleeAttackInterval=13	3	0	0	0		1.009	0.275	0.350	0.384	0	12.22	0.159		skilled 8/8;I2
B4 meleeInt 17	engageRadius=11 spawnRadius=14 meleeAttackInterval=17	7	3	2	2		0.829	0.229	0.300	0.301	0	11.70	0.204		skilled 8/8;I2;I3;I8
B4 meleeInt 18	engageRadius=11 spawnRadius=14 meleeAttackInterval=18	8	3	2	2		0.743	0.221	0.287	0.234	0	11.47	0.214		I3;I8
B4 meleeInt 20	engageRadius=11 spawnRadius=14 meleeAttackInterval=20	7	3	2	2		0.725	0.208	0.272	0.245	0	11.89	0.238		skilled 8/8;I3;I8
B5 shooterHp 0.6	engageRadius=11 spawnRadius=14 shooterHp=0.6	8	3	2	2		0.801	0.220	0.299	0.281	0	10.47	0.190		I2;I3;I8
B5 shooterHp 0.7	engageRadius=11 spawnRadius=14 shooterHp=0.7	6	2	0	1		0.922	0.248	0.350	0.325	0	11.69	0.177		skilled 8/8;I2;I8
B5 shooterHp 0.9	engageRadius=11 spawnRadius=14 shooterHp=0.9	5	2	1	1		0.968	0.260	0.343	0.365	0	12.92	0.209		skilled 8/8;I2;I3;I8
B5 shooterHp 1	engageRadius=11 spawnRadius=14 shooterHp=1	6	0	0	0		0.986	0.246	0.397	0.343	0	13.27	0.205		skilled 8/8;I2
B6 shooterDmg 0.025	engageRadius=11 spawnRadius=14 shooterDamage=0.025	7	3	1	2		0.831	0.237	0.313	0.280	0	11.54	0.142		skilled 8/8;I2;I3;I8
B6 shooterDmg 0.03	engageRadius=11 spawnRadius=14 shooterDamage=0.03	6	3	0	0		0.876	0.242	0.321	0.312	0	11.90	0.172		skilled 8/8;I2;I8
B6 shooterDmg 0.04	engageRadius=11 spawnRadius=14 shooterDamage=0.04	6	1	0	0		0.882	0.252	0.319	0.310	0	11.78	0.216		skilled 8/8;I2;I8
B6 shooterDmg 0.045	engageRadius=11 spawnRadius=14 shooterDamage=0.045	6	0	0	0		0.927	0.257	0.334	0.336	0	11.87	0.237		skilled 8/8;I2
B7 shooterInt 24	engageRadius=11 spawnRadius=14 shooterAttackInterval=24	6	0	0	0		0.911	0.251	0.319	0.341	0	12.05	0.214		skilled 8/8;I2
B7 shooterInt 26	engageRadius=11 spawnRadius=14 shooterAttackInterval=26	7	1	0	0		0.873	0.249	0.322	0.302	0	11.78	0.204		skilled 8/8;I2;I8
B7 shooterInt 34	engageRadius=11 spawnRadius=14 shooterAttackInterval=34	7	2	0	0		0.841	0.245	0.316	0.279	0	11.80	0.189		skilled 8/8;I2;I8
B7 shooterInt 38	engageRadius=11 spawnRadius=14 shooterAttackInterval=38	7	3	0	0		0.847	0.243	0.317	0.287	0	11.65	0.172		skilled 8/8;I2;I8
B8 shooterRange 3.5	engageRadius=11 spawnRadius=14 shooterRange=3.5	6	1	2	2		0.875	0.244	0.327	0.304	0	11.76	0.169		skilled 8/8;I2;I3;I8
B8 shooterRange 4	engageRadius=11 spawnRadius=14 shooterRange=4	6	2	1	1		0.890	0.246	0.341	0.302	0	11.29	0.176		skilled 8/8;I2;I3;I8
B8 shooterRange 4.2	engageRadius=11 spawnRadius=14 shooterRange=4.2	8	2	1	1		0.844	0.237	0.330	0.277	0	11.40	0.185		I2;I3;I8
B8 shooterRange 4.7	engageRadius=11 spawnRadius=14 shooterRange=4.7	8	3	0	0		0.876	0.252	0.353	0.271	0	12.11	0.196		I2;I8
B8 shooterRange 4.9	engageRadius=11 spawnRadius=14 shooterRange=4.9	6	3	0	0		0.837	0.238	0.326	0.274	0	11.26	0.193		skilled 8/8;I2;I8
B9 eliteHp 18	engageRadius=11 spawnRadius=14 eliteHp=18	8	2	0	0		0.765	0.247	0.318	0.200	0	11.18	0.198		I8
B9 eliteHp 20	engageRadius=11 spawnRadius=14 eliteHp=20	8	1	0	0		0.801	0.247	0.318	0.236	0	11.41	0.200		I2;I8
B9 eliteHp 24	engageRadius=11 spawnRadius=14 eliteHp=24	7	0	0	0		0.903	0.247	0.318	0.338	0	12.04	0.198		skilled 8/8;I2
B9 eliteHp 26	engageRadius=11 spawnRadius=14 eliteHp=26	5	0	0	0		0.949	0.247	0.318	0.384	0	12.28	0.198		skilled 8/8;I2
B9 eliteHp 30	engageRadius=11 spawnRadius=14 eliteHp=30	3	0	0	0		1.019	0.247	0.318	0.453	0	12.64	0.194		skilled 8/8;I2;I2 windows
B10 eliteDmg 0.3	engageRadius=11 spawnRadius=14 eliteDamage=0.3	8	0	0	0		0.840	0.247	0.318	0.275	0	11.67	0.201		I2
B10 eliteDmg 0.35	engageRadius=11 spawnRadius=14 eliteDamage=0.35	8	0	0	0		0.842	0.247	0.318	0.277	0	11.68	0.200		I2
B10 eliteDmg 0.45	engageRadius=11 spawnRadius=14 eliteDamage=0.45	8	0	0	0		0.843	0.247	0.318	0.278	0	11.68	0.200		I2
B10 eliteDmg 0.5	engageRadius=11 spawnRadius=14 eliteDamage=0.5	8	0	0	0		0.844	0.247	0.318	0.279	0	11.69	0.200		I2
B11 eliteApproach 3.5	engageRadius=11 spawnRadius=14 eliteApproachRange=3.5	8	1	0	0		0.855	0.247	0.318	0.290	0	11.74	0.203		I2;I8
B11 eliteApproach 4	engageRadius=11 spawnRadius=14 eliteApproachRange=4	8	1	0	0		0.853	0.247	0.318	0.288	0	11.72	0.202		I2;I8
B11 eliteApproach 4.9	engageRadius=11 spawnRadius=14 eliteApproachRange=4.9	8	1	0	0		0.858	0.247	0.318	0.293	0	11.77	0.200		I2;I8
B12 shooterSpeed 0.05	engageRadius=11 spawnRadius=14 shooterMoveSpeed=0.05	7	3	0	0		0.866	0.236	0.315	0.315	0	11.77	0.194		skilled 8/8;I2;I8
B12 shooterSpeed 0.055	engageRadius=11 spawnRadius=14 shooterMoveSpeed=0.055	7	3	1	1		0.875	0.234	0.328	0.313	0	11.00	0.176		skilled 8/8;I2;I3;I8
B12 shooterSpeed 0.07	engageRadius=11 spawnRadius=14 shooterMoveSpeed=0.07	4	1	1	2		0.968	0.250	0.340	0.377	0	11.44	0.199		skilled 8/8;I2;I3;I8
B12 shooterSpeed 0.08	engageRadius=11 spawnRadius=14 shooterMoveSpeed=0.08	6	0	0	0		0.913	0.239	0.358	0.315	0	11.32	0.213		skilled 8/8;I2
B13 ri 10/8/6	engageRadius=11 spawnRadius=14 phases=14-20-26|10-8-6|5:1/3:1/2:1	8	3	2	2		0.626	0.198	0.244	0.185	0	8.31	0.176		I3;I8
B13 ri 10/7/5	engageRadius=11 spawnRadius=14 phases=14-20-26|10-7-5|5:1/3:1/2:1	6	2	0	0		0.807	0.198	0.337	0.272	0	10.77	0.188		skilled 8/8;I2;I8
B13 ri 8/7/5	engageRadius=11 spawnRadius=14 phases=14-20-26|8-7-5|5:1/3:1/2:1	6	0	0	0		0.938	0.308	0.353	0.277	0	12.56	0.179		skilled 8/8;I2
B13 ri 9/8/6	engageRadius=11 spawnRadius=14 phases=14-20-26|9-8-6|5:1/3:1/2:1	8	2	2	2		0.674	0.247	0.214	0.213	0	9.14	0.182		I3;I8
C e10/s13 eh20 md0.04 mi15	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=15	8	4	1	1		0.746	0.233	0.298	0.215	0	10.34	0.187		I3;I8
C e10/s13 eh20 md0.04 mi16	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=16	7	4	1	1		0.750	0.222	0.283	0.244	0	10.37	0.199		skilled 8/8;I3;I8
C e10/s13 eh20 md0.04 mi17	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=17	7	3	1	2		0.701	0.215	0.266	0.220	0	10.35	0.204		skilled 8/8;I3;I8
C e10/s13 eh20 md0.0425 mi15	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=15	7	2	1	0		0.854	0.246	0.324	0.285	0	10.81	0.175		skilled 8/8;I2;I3;I8
C e10/s13 eh20 md0.0425 mi16	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=16	8	3	1	1		0.766	0.234	0.298	0.234	0	10.36	0.188		I3;I8
C e10/s13 eh20 md0.0425 mi17	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=17	8	3	1	2		0.757	0.226	0.290	0.241	0	10.37	0.195		I3;I8
C e10/s13 eh20 md0.045 mi15	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=15	7	2	0	0		0.856	0.258	0.353	0.245	0	10.54	0.175		skilled 8/8;I2;I8
C e10/s13 eh20 md0.045 mi16	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=16	7	2	0	0		0.829	0.246	0.324	0.260	0	10.64	0.181		skilled 8/8;I2;I8
C e10/s13 eh20 md0.045 mi17	engageRadius=10 spawnRadius=13 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=17	7	2	1	1		0.811	0.238	0.308	0.265	0	10.43	0.187		skilled 8/8;I2;I3;I8
C e10/s13 eh22 md0.04 mi15	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=15	8	3	1	1		0.787	0.233	0.298	0.255	0	10.62	0.187		I3;I8
C e10/s13 eh22 md0.04 mi16	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=16	7	2	1	1		0.775	0.222	0.283	0.270	0	10.57	0.199		skilled 8/8;I3;I8
C e10/s13 eh22 md0.04 mi17	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=17	7	3	1	1		0.721	0.215	0.266	0.241	0	10.54	0.205		skilled 8/8;I3;I8
C e10/s13 eh22 md0.0425 mi15	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=15	6	2	0	0		0.900	0.246	0.324	0.331	0	11.12	0.175		skilled 8/8;I2;I8
C e10/s13 eh22 md0.0425 mi16	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=16	7	3	1	1		0.814	0.234	0.298	0.282	0	10.67	0.189		skilled 8/8;I2;I3;I8
C e10/s13 eh22 md0.0425 mi17	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=17	7	3	1	2		0.792	0.226	0.290	0.275	0	10.59	0.194		skilled 8/8;I3;I8
C e10/s13 eh22 md0.045 mi15	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=15	7	1	0	0		0.888	0.258	0.353	0.277	0	10.76	0.176		skilled 8/8;I2;I8
C e10/s13 eh22 md0.045 mi16	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=16	6	2	0	0		0.861	0.246	0.324	0.291	0	10.88	0.181		skilled 8/8;I2;I8
C e10/s13 eh22 md0.045 mi17	engageRadius=10 spawnRadius=13 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=17	7	2	1	1		0.838	0.238	0.308	0.292	0	10.63	0.187		skilled 8/8;I2;I3;I8
C e10/s13 eh24 md0.04 mi15	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.04 meleeAttackInterval=15	7	2	0	0		0.815	0.233	0.298	0.283	0	10.85	0.189		skilled 8/8;I2;I8
C e10/s13 eh24 md0.04 mi16	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.04 meleeAttackInterval=16	7	2	1	1		0.809	0.222	0.283	0.303	0	10.79	0.199		skilled 8/8;I2;I3;I8
C e10/s13 eh24 md0.04 mi17	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.04 meleeAttackInterval=17	7	2	1	1		0.743	0.215	0.266	0.262	0	10.76	0.206		skilled 8/8;I3;I8
C e10/s13 eh24 md0.0425 mi15	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.0425 meleeAttackInterval=15	5	2	0	0		0.929	0.246	0.324	0.359	0	11.31	0.174		skilled 8/8;I2;I8
C e10/s13 eh24 md0.0425 mi16	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.0425 meleeAttackInterval=16	7	3	0	0		0.852	0.234	0.298	0.319	0	10.91	0.187		skilled 8/8;I2;I8
C e10/s13 eh24 md0.0425 mi17	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.0425 meleeAttackInterval=17	7	2	1	1		0.823	0.226	0.290	0.307	0	10.81	0.194		skilled 8/8;I2;I3;I8
C e10/s13 eh24 md0.045 mi15	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.045 meleeAttackInterval=15	7	1	0	0		0.928	0.258	0.353	0.317	0	10.98	0.176		skilled 8/8;I2;I8
C e10/s13 eh24 md0.045 mi16	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.045 meleeAttackInterval=16	6	2	0	0		0.880	0.246	0.324	0.310	0	11.02	0.182		skilled 8/8;I2;I8
C e10/s13 eh24 md0.045 mi17	engageRadius=10 spawnRadius=13 eliteHp=24 meleeDamage=0.045 meleeAttackInterval=17	6	2	0	1		0.881	0.238	0.308	0.335	0	10.88	0.186		skilled 8/8;I2;I8
C e11/s14 eh20 md0.04 mi15	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=15	7	3	2	2		0.773	0.224	0.302	0.247	0	11.34	0.195		skilled 8/8;I3;I8
C e11/s14 eh20 md0.04 mi16	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=16	7	4	2	2		0.725	0.215	0.292	0.219	0	11.41	0.222		skilled 8/8;I3;I8
C e11/s14 eh20 md0.04 mi17	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.04 meleeAttackInterval=17	8	4	2	2		0.700	0.207	0.279	0.213	0	11.42	0.224		I3;I8
C e11/s14 eh20 md0.0425 mi15	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=15	8	3	1	1		0.798	0.235	0.316	0.246	0	11.48	0.210		I3;I8
C e11/s14 eh20 md0.0425 mi16	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=16	8	4	2	2		0.736	0.226	0.300	0.210	0	11.19	0.206		I3;I8
C e11/s14 eh20 md0.0425 mi17	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.0425 meleeAttackInterval=17	7	3	2	2		0.739	0.218	0.295	0.226	0	11.38	0.205		skilled 8/8;I3;I8
C e11/s14 eh20 md0.045 mi15	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=15	8	1	0	0		0.801	0.247	0.318	0.236	0	11.41	0.200		I2;I8
C e11/s14 eh20 md0.045 mi16	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=16	8	2	0	1		0.761	0.237	0.301	0.223	0	11.19	0.200		I8
C e11/s14 eh20 md0.045 mi17	engageRadius=11 spawnRadius=14 eliteHp=20 meleeDamage=0.045 meleeAttackInterval=17	8	3	2	2		0.763	0.229	0.300	0.235	0	11.35	0.205		I3;I8
C e11/s14 eh22 md0.04 mi15	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=15	7	3	1	2		0.811	0.224	0.302	0.285	0	11.57	0.196		skilled 8/8;I2;I3;I8
C e11/s14 eh22 md0.04 mi16	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=16	7	3	2	2		0.755	0.215	0.292	0.249	0	11.62	0.222		skilled 8/8;I3;I8
C e11/s14 eh22 md0.04 mi17	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.04 meleeAttackInterval=17	8	3	2	2		0.739	0.207	0.279	0.252	0	11.71	0.226		I3;I8
C e11/s14 eh22 md0.0425 mi15	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=15	8	2	1	1		0.854	0.235	0.316	0.302	0	11.81	0.211		I2;I3;I8
C e11/s14 eh22 md0.0425 mi16	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=16	8	3	1	2		0.781	0.226	0.300	0.255	0	11.48	0.206		I3;I8
C e11/s14 eh22 md0.0425 mi17	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.0425 meleeAttackInterval=17	7	3	2	2		0.779	0.218	0.295	0.266	0	11.65	0.207		skilled 8/8;I3;I8
C e11/s14 eh22 md0.045 mi15	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=15	8	0	0	0		0.843	0.247	0.318	0.277	0	11.68	0.200		I2
C e11/s14 eh22 md0.045 mi16	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=16	8	2	0	1		0.806	0.237	0.301	0.268	0	11.47	0.202		I2;I8
C e11/s14 eh22 md0.045 mi17	engageRadius=11 spawnRadius=14 eliteHp=22 meleeDamage=0.045 meleeAttackInterval=17	7	3	2	2		0.829	0.229	0.300	0.301	0	11.70	0.204		skilled 8/8;I2;I3;I8
C e11/s14 eh24 md0.04 mi15	engageRadius=11 spawnRadius=14 eliteHp=24 meleeDamage=0.04 meleeAttackInterval=15	7	2	1	2		0.855	0.224	0.302	0.330	0	11.85	0.195		skilled 8/8;I2;I3;I8
C e11/s14 eh24 md0.04 mi16	engageRadius=11 spawnRadius=14 eliteHp=24 meleeDamage=0.04 meleeAttackInterval=16	7	3	2	2		0.790	0.215	0.292	0.284	0	11.86	0.223		skilled 8/8;I3;I8
