label	patch	stage	sk	fl	no	cp	ig	I2	w0	w1	w2	idle	meanEngaged	meanEnd	meanStanding	shooterShare	I4gap	campDone	campCleared	failed
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.304	0	15.98	2006	2.88	0.198				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.567	0.306	0	15.97	2012	2.88	0.200				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.305	0	15.96	2010	2.88	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.568	0.306	0	15.99	2009	2.88	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.304	0	15.98	2006	2.88	0.198				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.184	0.310	0.567	0.306	0	15.97	2012	2.88	0.200				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c16-22-28 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.182	0.310	0.567	0.305	0	15.97	2010	2.88	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.571	0.303	0	16.03	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.03	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.571	0.303	0	16.03	2006	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.03	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.571	0.303	0	16.03	2006	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.02	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-4 c18-24-30 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-4|4:1/3:1/2:1}	2	3	1	0	0		1.185	0.310	0.570	0.304	0	16.03	2007	2.75	0.199				I2;I2 windows;I8
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c15-21-27 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c16-22-28 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=16-22-28|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i8-6-3 c18-24-30 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=18-24-30|8-6-3|4:1/3:1/2:1} s4{shooterRange=4.5}																			REJECTED tuning2: the table breaks a §2.3 relation — stage 7's requestInterval is not below stage 2's in phase 2
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC62 S13 DPT2	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.75	2005	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC62 S13 DPT3	s2{absoluteEnemyCap=62 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.56	1992	2.88	0.199				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC62 S16 DPT2	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.76	2005	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC62 S16 DPT3	s2{absoluteEnemyCap=62 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.57	1992	2.88	0.199				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC66 S13 DPT2	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.78	2005	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC66 S13 DPT3	s2{absoluteEnemyCap=66 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.60	1992	2.88	0.200				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC66 S16 DPT2	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.79	2005	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC66 S16 DPT3	s2{absoluteEnemyCap=66 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.60	1992	2.88	0.200				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC72 S13 DPT2	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.81	2004	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC72 S13 DPT3	s2{absoluteEnemyCap=72 backlogSize=13 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.63	1991	2.88	0.200				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC72 S16 DPT2	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=2 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.206	0.411	0.544	0.252	0	18.82	2004	2.88	0.198				I2;I2 windows
S2 4:1/3:1/2:1 i7-6-4 c15-21-27 EC72 S16 DPT3	s2{absoluteEnemyCap=72 backlogSize=16 backlogDrainPerTick=3 phases=15-21-27|7-6-4|4:1/3:1/2:1}	2	2	0	0	0		1.200	0.411	0.543	0.246	0	18.64	1991	2.88	0.200				I2;I2 windows
